ECOSYSTEM,SKILL,RATING,COMMENTS,I'D LIKE TO LEARN,LEVEL
Testing,Jest,3,,FALSE,"I know about different jest aspects like assertions, snapshots, runner methods (it, test, describe) and I know how to write not complex tests. I know mocks, stubs and spies concepts in jest"
,,,,,
Web Client,Web Client,0,,TRUE,
Web Client,CSS,4,,FALSE,"I have an advanced knowledge of HTML.
I know all style rules and when they apply to specific tags.
I know sibling selectors, like > and +.
I know how to solve style issues caused by browser compatibility.
I know how to use media queries to build responsive sites and elements.
I know how to use :before & :after to make style driven elements in the DOM."
Web Client,HTML,3,,FALSE,"I know almost all the HTML tags
I have the ability to manipulate the DOM
"
Web Client,SASS,4,,FALSE,"I deeply understands the library to get the most out of it.
I can configure it and define style guidelines for all the team members"
Web Client,D3.js,0,,TRUE,
Web Client,Three.js,0,,TRUE,
Web Client,Cesium.js,0,,TRUE,
Web Client,Angular,2,,TRUE,I can modify effectively already working solutions to include new features
Web Client,Vue,0,,TRUE,
Web Client,GreenSock,0,,TRUE,
Web Client,Storybook,2,,TRUE,I can use knobs to interact with the component
Web Client,Formik,1,,TRUE,"I can add Formik to existent forms, and use basic validations as 'not empty' o 'is a number'"
,,,,,
Cloud,Cloud,1,,TRUE,"I'm able to access a cloud platform and perform basic operations with it, such as inspecting a resource or accessing a database."
Cloud,Azure,1,,TRUE,I'm able to use the portal or resources of a project mounted on azure.
Cloud,AWS,1,,TRUE,I'm able to use the portal or resources of a project mounted on aws.
Cloud,Google,0,,TRUE,
,,,,,
DataBase,MongoDB,1,,TRUE,"I'm able to work effectively modifying existing solutions implemented with it. I knows how to connect to an existing instance and run some easy queries (find, update, remove)"
DataBase,PostgreSQL,1,,TRUE,I know the basic syntax and I can  select and filter data across multiple tables. Also I understands inner/outer/cross joins
DataBase,MySQL,1,,TRUE,I knows the basic syntax. I can select and filter data across multiple tables and I understand inner/outer/cross joins
DataBase,Redis,0,,TRUE,
,,,,,
GIS,Carto,0,,FALSE,
GIS,OpenLayers,0,,FALSE,
GIS,GoogleMaps,0,,TRUE,
GIS,LeafLet,0,,FALSE,
GIS,OGC Standards,0,,FALSE,
GIS,ArcGIS,0,,FALSE,
,,,,,
Server,Server,1,,TRUE,"I can work effectively within established server side frameworks, following current best practices."
Server,Tomcat,0,,TRUE,
Server,Apache,0,,TRUE,
Server,Kubernetes,1,,TRUE,"I understand the concepts of pod, service, deployment and replica set."
Server,Terraforms,1,,TRUE,"I know the basic terraform commands and I'm able to make small modifications to a terraform-mounted project, for example, the configuration of a resource."
Server,Docker,2,,TRUE,"I'm able to create my own images. I'm able to deploy docker containers with a custom configuration. I'm able to monitoring the containers (on a basic level, e.g. know that they are running).
"
Server,Heroku,2,,TRUE,I know how to integrate Add-ons and how to read logs. Also I know about Heroku Private spaces. I know how to deploy an SQL instance and how to deploy a Redis instance.
,,,,,
CI/CD,Infrastructure and automation,1,,TRUE,"I work effectively within established structures, following current best practices."
CI/CD,Jenkins,1,,TRUE,"I have a basic knowledge of the tool, understand its principles and can use as is defined at the documentation or tutorials."
CI/CD,Bamboo,0,,FALSE,
CI/CD,Travis,0,,FALSE,
CI/CD,Circle,0,,TRUE,
CI/CD,Fastlane,0,,FALSE,
,,,,,
Management Tools,Jira,3,,FALSE,I work with this tool habitually in my day to day and I have a good knowledge of it
Management Tools,Confluence,3,,FALSE,I work with this tool habitually in my day to day and I have a good knowledge of it
Management Tools,Monday,0,,FALSE,
Management Tools,Azure Board,1,,FALSE,I have never worked with this tool but I have worked with other similars
Management Tools,Trello,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
Management Tools,Redmine,0,,FALSE,
Management Tools,Airtable,0,,FALSE,
Management Tools,Harvest,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
,,,,,
Repositories,Git,3,,FALSE,"I am an advanced user of this tool, I know most of the tricks and I am able to resolve conflicts that may occur, in addition to helping the juniors with this tool"
Repositories,SVN,1,,FALSE,I have worked on some project using the basic functions of code versioning
,,,,,
Java,Clojure,0,,FALSE,
Java,Spring,0,,TRUE,
Java,SpringBoot,0,,FALSE,
Java,Gradle,0,,FALSE,
Java,Maven,0,,TRUE,
,,,,,
Python,Django,0,,TRUE,
,,,,,
Agile,Scrum,2,,TRUE,I usually work on projects that follow this methodology and I have specific training in it
Agile,Lean and agile practices,1,,TRUE,I have participated in some team or project that was managed with this methodology
Agile,Kanban,2,,TRUE,I usually work on projects that follow this methodology and I have specific training in it
Agile,Retrospectives,3,,FALSE,I lead occasionally retrospectives and I am able to distinguish what teams need
,,,,,
Language,English,3,,TRUE,"I have very high knowledge in the language, you can write and read practically any text and have fluent conversations with native people indistinctly of their accents. My level is similar to the C1 certification."
Language,French,0,,TRUE,
Language,German,0,,TRUE,
Language,Italian,0,,FALSE,
Language,Chinese,0,,FALSE,
,,,,,
Bus,RabbitMQ,0,,FALSE,
Bus,Kafka,1,,TRUE,"I know the fundamentals of Bus Messages, but I have never used them in a development."
Bus,Azure Service Bus,2,,TRUE,I know the fundamentals of Bus Messages and I have used them in some projects.
,,,,,
Cluster,Openshift,0,,TRUE,
,,,,,
Big Data,Spark,0,,FALSE,
Big Data,Hive,0,,FALSE,
Big Data,Hadoop,0,,FALSE,
,,,,,
Virtualization,VirtualBox,1,,TRUE,I understand the basic concepts of virtualization.  I am able to create basic virtual machines and to install the operative system in them.
Virtualization,VMware,0,,FALSE,
Virtualization,Vagrant,1,,TRUE,I understand the basic concepts of virtualization. I know a little bit of VirtualBox and VMware. I am able to create basic virtual machines using a Vagrant file
,,,,,
UX/UI,Sketch,0,,FALSE,
UX/UI,Photoshop,0,,FALSE,
UX/UI,Illustrator,0,,FALSE,
UX/UI,Zeplin,2,,FALSE,I have worked occasionally with this tool and I know how to use it for everyday tasks.
UX/UI,Marvel,0,,FALSE,
,,,,,
React Native,React Navigation,0,,TRUE,
React Native,Native API,0,,TRUE,
React Native,SVG,0,,TRUE,
React Native,Animations,0,,TRUE,
,,,,,
Other,Scala,0,,TRUE,
Other,Shell,0,,FALSE,
Other,StreamingTechnology,0,,FALSE,
,,,,,
Generic,Security,1,,TRUE,I can describe some of the security considerations that could impact on any development and demonstrate awareness of basic security concepts.
Generic,Software design,3,,TRUE,"I can write good code as a matter of course and generally doesn't require correction from other team members. I can design solutions by myself that are maintainable, readable, testable and correctly solve the problem. I can describe the concept of domain driven design and the value domain modelling provides. I can design complex and flexible APIs."
Generic,Good development practices,2,,TRUE,I can write effective automated tests that are valuable and easy to maintain. I understand refactoring and why it's important to do regularly. I can write code conform to the team's development best practices.
Generic,Technical Ownership,1,,FALSE,"I can work towards ensuring that any code or documentation is high quality. I can explain why it is important to have visibility of the performance, logs and system events of an application. I can recognise when there is technical debt and ensure that it is captured according to the team's best practices. I can maintain an awareness of the impact of changes on other parts of the codebase or project and ensure they are mitigated when necessary."
Generic,Architecture,1,,TRUE,I understand the basics of software architecture and its importance. I can follow a simple architecture when it is explained to me. I have an understanding of inter-service communication and I am aware of the key synchronous and asynchronous integration patterns. I understand the key difference between the main types of general purpose databases and what sort of data are suited to each type.
Generic,Delivery,1,,FALSE,I can describe the goals of the product and how the current implementation seeks to achieve those goals. I can use my own research to propose a valid technical solution to problems. I work with others to understand and deliver valuable features into production. I can plan the delivery of simple features from a technical point of view.
Generic,Code review,3,,TRUE,"I carry out regular code reviews to the majority of the team members, I can give constructive feedback and not only find errors, but also give some advice to make more robust and efficient developments."
,,,,,
Management,Project planning,1,,FALSE,I can plan the short-term work of a small team when the objectives are clear
Management,Project management,1,,FALSE,I effectively deliver individual tasks
Management,Estimations,3,,FALSE,I can estimates quite accurately a wide range of projects even if they have new technologies or problems
Management,Customers relationships,4,,FALSE,I manage the relationship with very demanding clients without any problems and can redirect difficult situations
Management,Presales,1,,FALSE,I can help to prepare a proposal based on the existing ones and where the requirements are clear
Management,Leadership,1,,FALSE,I have initiative and proactivity to lead a small group
Management,Problems solving,3,,FALSE,I can mediate in important problems between colleagues or between the team and a client
Management,Performance evaluation,3,,FALSE,I know how to give good feedback to people in the proper way and get them to improve in various aspects/skills
Management,Multitasking,3,,FALSE,I know when it is a good time to ask for help and I am responsible for knowing what the limit of tasks I can carry out without losing quality
,,,,,
Javascript,Core Concepts,3,,TRUE,"I am not afraid to use advance tools (prototype, call, this, bind, recursive...)"
Javascript,Asynchrony,3,,TRUE,"I can migrate old code to new asyncronous schema (callbacks2promises, etc...)"
Javascript,"ES6, ESx, ESNext ...",3,,TRUE,"I can handle advance topics (proxies, generators, symbol, set/maps, etc...)"
Javascript,Browser APIs,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,DOM APIs,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Old browsers support,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Web Sockets,1,,TRUE,I made a simple examples using the browser API
Javascript,AJAX,3,,FALSE,I can create a full implementation in the client side using the Browser API or external libraries
Javascript,Patterns,2,,TRUE,I understand the basics and can read and modify existing code.
Javascript,Regex,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Functional,2,,TRUE,I understand the basics and can read and modify existing code.
Javascript,POO,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Reactive,2,,TRUE,I understand the basics and can read and modify existing code.
Javascript,Algorithms,2,,TRUE,I understand the basics and can read and modify existing code.
Javascript,Data Structures,1,,FALSE,I have a very basic idea of the most common Data Structures
Javascript,Web Workers,3,,FALSE,I am able to implement patterns from zero
Javascript,"Canvas, 3D...",1,,FALSE,"I know the basics about Canvas and 3d (vectorial, scene, ilumination, etc...)"
Javascript,Storage,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Testing,4,,FALSE,I am able to perform TDD in e2e and unit testing environment
Javascript,DevTools,2,,FALSE,"I have a deep knowledge on advance tools (sources, security, audit)"
,,,,,
.NET,C# core,0,,FALSE,
.NET,C# async,0,,FALSE,
.NET,C# parallel programming,0,,FALSE,
.NET,C# testing,0,,FALSE,
.NET,C# logging,0,,FALSE,
,,,,,
GraphQL,Core,0,,FALSE,
GraphQL,Queries,0,,FALSE,
GraphQL,Mutations,0,,FALSE,
GraphQL,Subscriptions,0,,FALSE,
GraphQL,Apollo Client,0,,FALSE,
GraphQL,graphqljs,0,,FALSE,
GraphQL,express-graphql,0,,FALSE,
GraphQL,GraphQL Yoga,0,,FALSE,
GraphQL,Apollo Server,0,,FALSE,
GraphQL,Nexus,0,,FALSE,
GraphQL,TypeGraphQL,0,,FALSE,
GraphQL,graphql-gen,0,,FALSE,
GraphQL,Prisma V2,0,,FALSE,
,,,,,
TypeScript,Instalation and configuration,0,,FALSE,
TypeScript,Primitive Types,0,,FALSE,
TypeScript,Object Types,0,,FALSE,
TypeScript,Interfaces,0,,FALSE,
TypeScript,Type Aliases,0,,FALSE,
TypeScript,Generics,0,,FALSE,
TypeScript,Utility Types,0,,FALSE,
TypeScript,Migrations,0,,FALSE,
